date,czk
2018-01-02,25.5
2018-01-03,25.55
2018-01-04,25.51
2018-01-05,25.6
2018-01-08,25.53
2018-01-09,25.54
2018-01-10,25.57
2018-01-11,25.55
2018-01-12,25.52
2018-01-15,25.53
2018-01-16,25.52
2018-01-17,25.45
2018-01-18,25.37
2018-01-19,25.43
2018-01-22,25.4
2018-01-23,25.41
2018-01-24,25.38
2018-01-25,25.38
2018-01-26,25.36
2018-01-29,25.3
2018-01-30,25.33
2018-01-31,25.27
2018-02-01,25.27
2018-02-02,25.19
2018-02-05,25.2
2018-02-06,25.23
2018-02-07,25.23
2018-02-08,25.25
2018-02-09,25.34
2018-02-12,25.36
2018-02-13,25.39
2018-02-14,25.36
2018-02-15,25.37
2018-02-16,25.34
2018-02-19,25.33
2018-02-20,25.32
2018-02-21,25.36
2018-02-22,25.32
2018-02-23,25.34
2018-02-26,25.39
2018-02-27,25.41
2018-02-28,25.42
2018-03-01,25.44
2018-03-02,25.41
2018-03-05,25.41
2018-03-06,25.38
2018-03-07,25.42
2018-03-08,25.43
2018-03-09,25.46
2018-03-12,25.45
2018-03-13,25.47
2018-03-14,25.45
2018-03-15,25.42
2018-03-16,25.42
2018-03-19,25.43
2018-03-20,25.42
2018-03-21,25.42
2018-03-22,25.4
2018-03-23,25.41
2018-03-26,25.45
2018-03-27,25.48
2018-03-28,25.46
2018-03-29,25.43
2018-04-03,25.37
2018-04-04,25.34
2018-04-05,25.33
2018-04-06,25.34
2018-04-09,25.36
2018-04-10,25.34
2018-04-11,25.33
2018-04-12,25.32
2018-04-13,25.31
2018-04-16,25.26
2018-04-17,25.26
2018-04-18,25.3
2018-04-19,25.33
2018-04-20,25.34
2018-04-23,25.41
2018-04-24,25.44
2018-04-25,25.47
2018-04-26,25.48
2018-04-27,25.47
2018-04-30,25.54
